,0
0,"[1.0017619263891977e-122, -1.6937784011191562e-120, -4.508357888229293e-119, 6.738796228642718e-117, 8.693168894401412e-115, 4.563789425762517e-113, -7.679667875381339e-112, -4.203076517595854e-109, -4.86340147513939e-107, -3.3817565969973938e-105, -9.87893008484728e-104, 1.1800723969410197e-101, 2.430225429490788e-99, 2.589097020431348e-97, 1.8841017502388404e-95, 7.491515203881652e-94, -3.661579777501004e-92, -1.1308048921202026e-89, -1.3973654418745706e-87, -1.1966605527727167e-85, -6.875421462342915e-84, -8.284802020238539e-83, 4.226659285140057e-80, 7.009967258958207e-78, 7.152404740670784e-76, 5.1198594199144e-74, 1.9346922334947692e-72, -1.2182888251498275e-70, -3.368255106084844e-68, -4.0125292513416033e-66, -3.208423661829791e-64, -1.4727562144607856e-62, 4.431226848069569e-61, 1.8321029787667996e-58, 2.2729874704013616e-56, 1.7494312397441297e-54, 6.1807905050267065e-53, -5.634061580927411e-51, -1.2784796353306984e-48, -1.2700154224522726e-46, -6.417696663077438e-45, 2.0768912711598402e-43, 7.965970700861498e-41, 8.21078219940293e-39, 3.2915674598565658e-37, -3.060743643507219e-35, -6.26608957093396e-33, -4.150418380793976e-31, 1.1882292775939856e-29, 4.802394142077882e-27, 3.214602556987765e-25, -1.765671429995469e-23, -4.2020495383354054e-21, -8.052811424022755e-20, 3.6314116564493905e-17, 1.7257438671850688e-15, -3.470055883535229e-13, -8.866754204753333e-12, 3.990327765310514e-09, -3.3176308322499886e-07, 1.5078513932652371e-05, -0.0004312245155006876, 0.007978260243235585, -0.09309472289354774, 0.6307298447513562, -2.055564552786994, 2.4819619292733455, -7.222950629815344, 51.6008804321289]"
1,"[-1.0607586148220477e-122, 1.8197588045765576e-120, 4.5916855738893957e-119, -7.457755416683981e-117, -9.352047141954859e-115, -4.723897145770425e-113, 1.0774151386879924e-111, 4.713168444250317e-109, 5.2907573972019767e-107, 3.558051046648298e-105, 8.902375496136451e-104, -1.464473961565435e-101, -2.766256730098573e-99, -2.8526508775575305e-97, -2.0002327271188272e-95, -7.04669337729545e-94, 5.3198666011925934e-92, 1.3487098013301445e-89, 1.5943158842138478e-87, 1.317742279401643e-85, 7.085614377080428e-84, 1.2151596782069812e-83, -5.516622148685712e-80, -8.42937483694727e-78, -8.273215256640632e-76, -5.6571141686158605e-74, -1.8096790076014422e-72, 1.880482100466174e-70, 4.298517042798278e-68, 4.892681654653434e-66, 3.772094833670546e-64, 1.581869648837577e-62, -7.664609613564956e-61, -2.4261914108934837e-58, -2.9010277017804275e-56, -2.185699174953872e-54, -7.26896321936531e-53, 7.834392181879273e-51, 1.7011588568220802e-48, 1.697693737972428e-46, 8.904002085118016e-45, -2.287615403295646e-43, -1.0455738405578552e-40, -1.1466865038713744e-38, -5.499277207714158e-37, 3.0226505497482804e-35, 8.167349048524018e-33, 6.53885818183492e-31, -2.7510666241648128e-31, -5.597010103502309e-27, -5.085138130867957e-25, 6.167400750106721e-24, 4.815492280917431e-21, 2.298812726735994e-19, -3.176664894085284e-17, -2.794437121158824e-15, 2.729939586698043e-13, 1.734161628900275e-11, -3.523536024658507e-09, 2.3529407955725812e-07, -9.121006223110461e-06, 0.00022972441714473534, -0.0038772313900093114, 0.04364471317195466, -0.3175818755564275, 1.4029349353130844, -3.314949987986222, 2.913862505491056, 49.46622111002604]"
2,"[2.815389792847962e-122, -4.3673320907898566e-120, -1.5506399186353134e-118, 1.4220123570358044e-116, 2.248845456643997e-114, 1.460549728994951e-112, 1.667860438025994e-111, -8.263647361048397e-109, -1.2001722996736587e-106, -1.0120174101494437e-104, -5.062406696360772e-103, 4.734093364476588e-102, 4.5160874294441935e-99, 6.182796889557857e-97, 5.579368601488204e-95, 3.4571956044837543e-93, 8.052654701332856e-92, -1.4909715055196967e-89, -2.8653320429813604e-87, -3.140903304119649e-85, -2.4826193613108992e-83, -1.273214511517562e-81, 3.765155722540851e-81, 1.065559054198999e-77, 1.5813859924496235e-75, 1.541608401573305e-73, 1.0659641847113548e-71, 3.7498479725193175e-70, -2.8849901398853677e-68, -7.313829919763393e-66, -8.590325427212517e-64, -6.880518651700402e-62, -3.2606444398063593e-60, 7.412295664486742e-59, 3.6970293371666667e-56, 4.741448310560605e-54, 3.811032749356663e-52, 1.5833445344638513e-50, -8.483341009483458e-49, -2.442699935078202e-46, -2.637706456205551e-44, -1.561204099838004e-42, 7.203095324307499e-42, 1.3422816747201483e-38, 1.6135730442866933e-36, 8.764102250225149e-35, -2.6431925367901308e-33, -9.892529628473648e-31, -8.370473791042447e-29, -5.328108191927406e-28, 6.039367124316245e-25, 5.410805576685335e-23, -6.956195509531844e-22, -4.490662410374017e-19, -1.539131278719711e-17, 2.779905020279328e-15, 1.2594787540544138e-13, -1.9992026386621918e-11, 2.449887160036103e-10, 5.836123626223469e-08, -4.023785146339253e-06, 0.0001316740797621628, -0.0025769863675860565, 0.031917847203285415, -0.25300145683307157, 1.2612557392786685, -3.5956445616780925, 5.183913546774631, 48.439090983072916]"
3,"[1.4058832977823392e-122, -2.320431536843384e-120, -6.720337249872435e-119, 8.79198004291187e-117, 1.1916979122368761e-114, 6.637108577024442e-113, -5.6142001447175915e-112, -5.416587953437577e-109, -6.594833278868081e-107, -4.818940632515485e-105, -1.6787755384959612e-103, 1.2927854594773088e-101, 3.1179487765762544e-99, 3.498346668991454e-97, 2.6822017148099984e-95, 1.218719841810042e-93, -2.9360060555468442e-92, -1.3922331564464564e-89, -1.8475422544800986e-87, -1.6676729145161528e-85, -1.0404365135154935e-83, -2.4003867256711513e-82, 4.682690197647955e-80, 8.976853908438868e-78, 9.777679902707316e-76, 7.514100277672409e-74, 3.430284330314588e-72, -9.118223937730696e-71, -4.137950860669531e-68, -5.434988255820944e-66, -4.721956073407239e-64, -2.5694045644545448e-62, 6.263645479229648e-62, 2.1854585565460946e-58, 3.121709239878775e-56, 2.708275913731678e-54, 1.3079863568571514e-52, -3.7410032292816577e-51, -1.5956763050825484e-48, -1.887844130808822e-46, -1.243896905980614e-44, -9.961727771402972e-44, 8.962342416745344e-41, 1.2233404139550164e-38, 7.747341805598284e-37, -8.260431051984422e-36, -7.371127972589658e-33, -7.454738355146873e-31, -1.6821735920105448e-29, 4.5425396133609016e-27, 5.4818834033438045e-25, 6.482817694531809e-24, -4.106509688441615e-21, -2.8734050467377724e-19, 2.236444072820715e-17, 2.8966377707455005e-15, -1.902873951925744e-13, -1.8571043066901064e-11, 2.8624179499880885e-09, -1.7276785908511113e-07, 6.280521294083086e-06, -0.00015228661725837398, 0.00253749696725137, -0.028760415106435944, 0.21046614639832886, -0.8873116658550725, 1.7517133559336875, -1.0646888646934842, 49.86060587565104]"
4,"[1.064246247079947e-122, -1.7612324353866396e-120, -5.064053601937863e-119, 6.707838324113777e-117, 9.053483679414301e-115, 5.019277325089065e-113, -4.576242340471081e-112, -4.1399839528194533e-109, -5.0208445356779804e-107, -3.6565218395622536e-105, -1.2602147167672345e-103, 1.0011544290924369e-101, 2.385147176826118e-99, 2.6673302568276447e-97, 2.0391884568468127e-95, 9.205384426168296e-94, -2.3231533346610213e-92, -1.0675306074700715e-89, -1.4112125008080055e-87, -1.2707511293195472e-85, -7.902140029974127e-84, -1.790791877001147e-82, 3.604709622685752e-80, 6.864368797711813e-78, 7.457214853747538e-76, 5.716316634721781e-74, 2.5945834823090185e-72, -7.1550717748981275e-71, -3.1674187645455925e-68, -4.144659488966788e-66, -3.589901212772339e-64, -1.9420769488963813e-62, 6.465105684388272e-62, 1.6766714652782468e-58, 2.380079865619516e-56, 2.0544979550002295e-54, 9.80588307488115e-53, -3.015230502858048e-51, -1.225864771815087e-48, -1.4376808165763347e-46, -9.364653748878387e-45, -5.912197598442074e-44, 6.971593771321276e-41, 9.36744357135051e-39, 5.82792892542673e-37, -7.847522427598035e-36, -5.7605356149338155e-33, -5.721912771141136e-31, -1.1922520754401799e-29, 3.6171616203814555e-27, 4.275598097155537e-25, 4.487632417956845e-24, -3.2763625435515903e-21, -2.2835437920902933e-19, 1.7762851555236683e-17, 2.3523470438532607e-15, -1.4522372155779347e-13, -1.5657327529479472e-11, 2.1873704050137673e-09, -1.1609444643980755e-07, 3.3064977910141405e-06, -4.6065616025932495e-05, -6.667784830826531e-05, 0.014195425824917238, -0.2461758038280949, 2.0008943863458604, -7.327845987370217, 3.4979124246905906, 48.669762166341144]"
5,"[4.5599805361106125e-122, -7.294970583068277e-120, -2.3575027435379257e-118, 2.568401379957933e-116, 3.7585632395160986e-114, 2.274098316823302e-112, 5.899005170146252e-112, -1.5411246531336735e-108, -2.046215506590797e-106, -1.6143666087378158e-104, -6.981194211332608e-103, 2.356077428561577e-101, 8.665337506191503e-99, 1.0716690900822642e-96, 8.969575166113409e-95, 4.9052293259622706e-93, 2.915430612151602e-92, -3.395284195642784e-89, -5.307189252287068e-87, -5.295123933925735e-85, -3.7817921897686855e-83, -1.5137753669617154e-81, 7.139124006877327e-80, 2.279125695970608e-77, 2.8697318647478235e-75, 2.5072361644121713e-73, 1.4806393012417562e-71, 2.1761282452527142e-70, -8.60305067951938e-68, -1.4577554357539377e-65, -1.4751606345442174e-63, -1.0091686788181528e-61, -2.966163757211325e-60, 3.794023937136071e-58, 7.892525094210392e-56, 8.287712842910725e-54, 5.433246220840324e-52, 9.616690884990248e-51, -3.05133372967861e-48, -4.964570482969875e-46, -4.239427037944186e-44, -1.6106501970448817e-42, 1.3336000819290732e-40, 2.9924451001918144e-38, 2.6146081954301148e-36, 7.079606861779583e-35, -1.2938776511946952e-32, -1.9903514040178754e-30, -1.0289238860481836e-28, 5.960242350242653e-27, 1.3541224923378123e-24, 6.088670705760136e-23, -6.5183642340331295e-21, -8.455474876605376e-19, 1.6486577159196155e-17, 6.885128390123846e-15, -1.3481273704256538e-13, -4.7027978537097303e-11, 4.122514922065402e-09, -1.5480521871406424e-07, 2.6064868892483942e-06, 8.555701951192427e-06, -0.0013238811778458692, 0.028247542840478083, -0.3100501041158388, 1.8887205877248665, -5.7428154540233525, 7.628915198865481, 48.05100911458333]"
6,"[2.3040695314663806e-122, -3.79055136998398e-120, -1.1155144813888427e-118, 1.4243215240170697e-116, 1.9517335877803043e-114, 1.1014278384664574e-112, -7.378445146705331e-112, -8.757179522577122e-109, -1.0804345713934829e-106, -7.999862671798427e-105, -2.906100377470398e-103, 1.9765043338541364e-101, 5.030525960818079e-99, 5.737193311345936e-97, 4.4722893358132356e-95, 2.1138811115261305e-93, -3.651504074154607e-92, -2.2011744488891523e-89, -3.0025794846552348e-87, -2.7639653886764925e-85, -1.776629154070893e-83, -4.80112868807676e-82, 6.920851273736997e-80, 1.4274708927929365e-77, 1.5991224980497378e-75, 1.2646556304114796e-73, 6.177509430768325e-72, -9.067498952650993e-71, -6.3427668015921364e-68, -8.733816702196955e-66, -7.852578319660971e-64, -4.540567897271752e-62, -3.0791751966855996e-61, 3.239271005846952e-58, 4.9532658816751045e-56, 4.4922870145244333e-54, 2.3672737655006016e-52, -3.277861320530346e-51, -2.3921092299505343e-48, -3.020942437317627e-46, -2.1300690326702784e-44, -3.5593219745387293e-43, 1.2835407538225836e-40, 1.924354405742871e-38, 1.3266676057272961e-36, 8.15791137071427e-37, -1.0812726691702891e-32, -1.1982892083880281e-30, -3.6109377401751536e-29, 6.3329304202052845e-27, 8.647964440532176e-25, 1.7492479539287113e-23, -5.889913548147552e-21, -4.768481548485026e-19, 2.877217658692942e-17, 4.5424404901390174e-15, -2.413688677370045e-13, -2.976041612928733e-11, 3.98191683059516e-09, -2.1931788711478974e-07, 7.184239376952679e-06, -0.00015240621677774393, 0.0021279846617893025, -0.019049233968706145, 0.09995286546474223, -0.22320340493165955, -0.17373523612585068, -1.7395390477097237, 49.317378743489584]"
7,"[-1.1803316872227142e-122, 2.140237986402763e-120, 4.203353008807655e-119, -9.71324218190312e-117, -1.0915309921983393e-114, -4.620678379675525e-113, 2.4173206702871108e-111, 6.311727690547837e-109, 6.320849888165982e-107, 3.667363001545795e-105, 1.979155954201838e-104, -2.552859017561698e-101, -3.785780872108637e-99, -3.458829637579974e-97, -2.0570058631659928e-95, -2.820947465193158e-94, 1.2240636290675783e-91, 2.0532382129073553e-89, 2.094497390964585e-87, 1.4941052356928973e-85, 5.577850947790167e-84, -3.7125384873181304e-82, -1.0192303030121484e-79, -1.2429674414641029e-77, -1.0502201304830674e-75, -5.702165132530021e-74, 2.5619493249831313e-74, 4.758367861813635e-70, 7.167966895200744e-68, 6.837630884153608e-66, 4.288320687157823e-64, 6.96516157320486e-63, -2.555701402437447e-60, -4.362984888738947e-58, -4.25944031378702e-56, -2.5314659284740687e-54, -6.008958781426108e-54, 2.057634474963506e-50, 2.9624061461879715e-48, 2.3874302988104508e-46, 7.601499833039412e-45, -1.0116721418459576e-42, -1.9944158338380193e-40, -1.720391784204871e-38, -4.591220646670884e-37, 9.220004158951414e-35, 1.4902601829103682e-32, 8.914943773255417e-31, -3.364829487108696e-29, -1.120728442317375e-26, -7.559537591002774e-25, 3.4534686906741834e-23, 9.252393317452413e-21, 2.653956924553438e-19, -7.011640297373268e-17, -4.368370942272053e-15, 6.067345290022112e-13, 2.5836427298736227e-11, -7.050203773539578e-09, 5.092547097799413e-07, -2.0718367969639324e-05, 0.0005389787487797535, -0.009257137673057225, 0.10397111244847117, -0.7303310770263916, 2.9261751520336827, -5.642611201871204, 3.2962562966725786, 48.89057184855143]"
8,"[3.579516072127779e-123, -5.6603655074698585e-121, -1.938748029685163e-119, 1.930380195666042e-117, 2.9638521672619184e-115, 1.8792954622786607e-113, 1.482479631375501e-112, -1.1625955987691355e-109, -1.634897821025526e-107, -1.3517700843408777e-105, -6.464157739925827e-104, 1.1415709676076253e-102, 6.620323047936464e-100, 8.77782241162525e-98, 7.7775329454925e-96, 4.6768861250874113e-94, 8.67471605724434e-93, -2.4007757902499668e-90, -4.323926795214574e-88, -4.6501569385297804e-86, -3.61739738759015e-84, -1.7822986997548996e-82, 1.93297034940158e-81, 1.737889621128065e-78, 2.5034577475996695e-76, 2.4173324198555762e-74, 1.6549619502181984e-72, 5.513757573901368e-71, -5.151804782474452e-69, -1.2352833545145924e-66, -1.4476657342016119e-64, -1.1666389393090616e-62, -5.574051650645909e-61, 1.319854393186365e-59, 6.580041961180577e-57, 8.610754952010253e-55, 7.129702177269435e-53, 3.1667306339837986e-51, -1.4049093539393626e-49, -4.642419631362291e-47, -5.325842607434823e-45, -3.452319552501986e-43, -2.041113460698173e-42, 2.6368513578926825e-39, 3.5996870831329907e-37, 2.3266553437971605e-35, -1.947714749177249e-34, -2.2054345038122988e-31, -2.331442556041375e-29, -6.237565041786425e-28, 1.3639072975184223e-25, 1.7984666823245762e-23, 3.300632490624833e-22, -1.3078731523288055e-19, -1.059670495720988e-17, 6.71582482360138e-16, 1.079504418435665e-13, -5.870194210704628e-12, -7.628176844877791e-10, 1.0465474773960188e-07, -5.936333157185374e-06, 0.00020048422885691675, -0.004390681705190354, 0.06353093524643515, -0.5971098332197472, 3.450470450392689, -10.62764521007501, 7.45715658837884, 49.330379740397134]"
9,"[6.239721772717173e-123, -7.830047791470964e-121, -4.868913802830781e-119, 8.899878976433635e-118, 4.149635201829162e-115, 4.225634055797965e-113, 2.3001673717482167e-111, -1.228761872564516e-110, -1.9459195992075993e-107, -2.6798753961737958e-105, -2.3628737620295085e-103, -1.357330870507451e-101, -1.330302088577766e-100, 8.98526730604194e-98, 1.4817971838950086e-95, 1.5447863282673114e-93, 1.1726032876172684e-91, 5.480532017681937e-90, -1.1563352963750778e-88, -6.358965294365013e-86, -8.999004828425707e-84, -8.806805966153542e-82, -6.299564778715622e-80, -2.506030725948407e-78, 1.3584100975936754e-76, 4.237619257699984e-74, 5.485889659646912e-72, 4.987480633903988e-70, 3.127564442618019e-68, 6.287655205346405e-67, -1.6821649124298885e-64, -3.124917910722089e-62, -3.355699933849088e-60, -2.4460072357752476e-58, -8.34399836764918e-57, 8.401588629732584e-55, 1.9667126728161493e-52, 2.1800387450936865e-50, 1.489628042306419e-48, 2.6844839592098274e-47, -9.04697950650923e-45, -1.498081044325282e-42, -1.2740211193373267e-40, -4.128360588738192e-39, 5.6680230904898136e-37, 1.0836817707644327e-34, 8.428605159874743e-33, 5.094509110810486e-32, -6.829042529663702e-29, -7.751214056695356e-27, -1.6830115586918485e-25, 5.339404994176711e-23, 5.8067549815633336e-21, -7.821728975227283e-20, -5.622215974565608e-17, -1.3282267890341176e-15, 4.890474617694668e-13, 5.51918122984961e-12, -4.732033050940422e-09, 3.948461011551878e-07, -1.7452408971939795e-05, 0.0004837870573678361, -0.00880050426593207, 0.10507421551632129, -0.7988825019362527, 3.6329163380140543, -8.729831218933274, 6.307284593483652, 49.26100158691406]"
