"","max","min","end_value","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end"
"linear_rise",99.9999130322103,0.0000869677897396485,100,0,0,0,4000,100,115,62.5,62.5,125,1.25,1.4375,0.78125,0.78125,1.5625,0,0,0,0,0,0,0,0,0,0
"linear_fall",99.9999130322103,0.0000869677897412657,0,0,0,0,4000,-100,-115,-62.5,-62.5,-125,-1.25,-1.4375,-0.78125,-0.78125,-1.5625,0,0,0,0,0,0,0,0,0,0
"linear_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_middle",50,50,50,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_high",100,100,100,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exp_rise_convex",100.876762997539,0.00000263866605121343,100.877172664055,0,0,0,1665.36741267771,100.877172664055,103.709740352569,90.292825782258,35.8036400478108,170.687394723659,1.26096465830069,1.29637175440711,1.12866032227822,0.447545500597635,2.13359243404574,5.83040790504133,5.99412209930879,5.21866336363907,2.06934651766259,9.86523619968918,0.0728800988130166,0.0749265262413599,0.0652332920454884,0.0258668314707824,0.123315452496115
"exp_fall_convex",100.876762997539,0.00000256976651025198,0,0,0,0,1665.36741267771,-100.877172664055,-118.882915797322,-35.8036400478108,-90.292825782258,-103.054187339405,-1.26096465830069,-1.48603644746653,-0.447545500597635,-1.12866032227822,-1.28817734174256,5.83040790504133,6.87108761808161,2.06934651766259,5.21866336363907,5.95623303710386,0.0728800988130166,0.0858885952260202,0.0258668314707824,0.0652332920454884,0.0744529129637983
"exp_rise_concave",99.9999974302335,-0.876762997538762,100,0,0,0,6334.63258732229,100.877172664055,118.882915797322,35.8036400478108,90.292825782258,103.054187339405,1.26096465830069,1.48603644746653,0.447545500597635,1.12866032227822,1.28817734174256,-5.83040790504133,-6.87108761808161,-2.06934651766259,-5.21866336363907,-5.95623303710386,-0.0728800988130166,-0.0858885952260202,-0.0258668314707824,-0.0652332920454884,-0.0744529129637983
"exp_fall_concave",99.999997361334,-0.876762997538762,-0.877172664055024,0,0,0,6334.63258732229,-100.877172664055,-103.709740352569,-90.292825782258,-35.8036400478108,-170.687394723659,-1.26096465830069,-1.29637175440711,-1.12866032227822,-0.447545500597635,-2.13359243404574,-5.83040790504133,-5.99412209930879,-5.21866336363907,-2.06934651766259,-9.86523619968918,-0.0728800988130166,-0.0749265262413599,-0.0652332920454884,-0.0258668314707824,-0.123315452496115
"sin_fr_full",99.9999999999743,0,99.9661207865086,0,1,1,4023.29517558597,-0.0338792134913746,-43.2863254404857,49.7339535539736,-49.7763025708378,48.5518660003067,-0.000423490168642182,-0.541079068006072,0.62167441942467,-0.622203782135472,0.606898325003833,-0.145385190832016,1.00672117638031,-0.163226847524909,-0.0185046410151113,-4.23926479972006,-0.0018173148854002,0.0125840147047539,-0.00204033559406136,-0.000231308012688891,-0.0529908099965008
