"","max","min","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des"
"linear_cut_rise",-0.0283084739389742,-0.264321131718119,-0.26432142899891,-0.26432142899891,-0.26432142899891,4.45594354747852,-0.0283081801750385,0.042495794472123,-0.175816460689958,-0.0578098362780224,-0.258421097778313,-0.256650998412134,-0.262108804791186,-0.259158639180888,-0.26432142899891,-0.26432142899891,-0.26432142899891,-0.26432142899891,-0.26432142899891,-0.26432142899891,-0.26432142899891,-0.26432142899891
"linear_cut_fall",-0.0544883611469712,-0.132524899965297,-0.210561731341684,-0.210561731341684,-0.210561731341684,4.47164232333696,-0.288598465586328,-0.312009485859721,-0.239825506683426,-0.278843873805748,-0.2125126496978,-0.213097925204635,-0.211293325725227,-0.212268784903286,-0.210561731341684,-0.210561731341684,-0.210561731341684,-0.210561731341684,-0.210561731341684,-0.210561731341684,-0.210561731341684,-0.210561731341684
"linear_cut_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_cut_middle",-0.106791227369461,-0.106791227369461,-0.224261577475868,-0.224261577475868,-0.224261577475868,4.47455242678042,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868
"linear_cut_high",-0.106791227369461,-0.106791227369461,-0.224261577475868,-0.224261577475868,-0.224261577475868,4.47455242678042,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868,-0.224261577475868
"exp_cut_rise_convex",0.070468348170969,-0.29557498320675,-0.29557510042731,-0.29557510042731,-0.29557510042731,4.42754346631066,0.0704695173273634,0.184491073634635,-0.134461058949347,0.000866630288068436,-0.286423984983443,-0.283573446075762,-0.291547249390361,-0.288164057159426,-0.274418783516743,-0.267828668369935,-0.286263176265829,-0.278441628450583,-0.295046192504546,-0.294881439625876,-0.295342302323273,-0.295146763627892
"exp_cut_fall_convex",0.11771539769247,-0.156518904685272,-0.183688693559228,-0.183688693559228,-0.183688693559228,4.44159076204678,-0.457923969119038,-0.511722271186612,-0.268660866056614,-0.441510615511605,-0.190544575448223,-0.191889532999913,-0.185812997871663,-0.190134241608038,-0.167838690263487,-0.164729304487584,-0.178777548516416,-0.168787334482364,-0.183292443476835,-0.183214708832437,-0.183565914933158,-0.183316159582307
"exp_cut_rise_concave",-0.0740692453979929,-0.250540085026729,-0.248854126548611,-0.248854126548611,-0.248854126548611,4.46551040001746,-0.0723826606734315,-0.0377632441593449,-0.194174203228747,-0.0829447175245009,-0.244442339901732,-0.243576854488879,-0.247487128465614,-0.244706391323008,-0.259053665284159,-0.261054567118268,-0.252014467475071,-0.258443209041586,-0.249109115017,-0.249159137562852,-0.248933135071773,-0.249093853610935
"exp_cut_fall_concave",-0.101083335528431,-0.112082867551435,-0.222045169905294,-0.222045169905294,-0.222045169905294,4.47449953745416,-0.23304474058368,-0.236471066519448,-0.226886616003827,-0.230953187154744,-0.222320159172254,-0.222405817320648,-0.222166206057758,-0.222267870336531,-0.222680913177739,-0.222878944876117,-0.222324991443429,-0.222560027457716,-0.222061063487105,-0.222066014279565,-0.222052165443748,-0.222058041344105
"sin_cut_fr_full",0.0516360280731772,-0.181313079906115,-0.181313079906115,-0.181313079906115,-0.181313079906115,4.45053153044967,-0.414242455883521,-0.514998643548927,-0.26839113474795,-0.385396745036037,-0.18713631430555,-0.189655218997185,-0.183490031277161,-0.186415171534363,-0.181143714461255,-0.17845989295585,-0.178928122171207,-0.183486330834947,-0.181308845769993,-0.181241750232358,-0.181253455962742,-0.181367411179336
