"","max","min","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end"
"linear_rise",-0.0970427594255347,-0.225066326439339,-0.225066437778799,-0.225066437778799,-0.225066437778799,4.8958851499302,-0.0970426480860744,-0.0778390796321657,-0.145051569220846,-0.145051569220846,-0.0650367006628932,-0.22346614040764,-0.223226095801966,-0.224066251921825,-0.224066251921825,-0.223066066064851,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799,-0.225066437778799
"linear_fall",-0.0501909737089267,-0.176986157248168,-0.176986267519328,-0.176986267519328,-0.176986267519328,4.89482989574314,-0.30378167160089,-0.322800982213124,-0.256233395070304,-0.256233395070304,-0.33548052262128,-0.178571210070348,-0.178808951453001,-0.177976856613715,-0.177976856613715,-0.178967445708102,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328,-0.176986267519328
"linear_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_middle",-0.137398132686823,-0.137398132686823,-0.201190122862848,-0.201190122862848,-0.201190122862848,4.90216909121914,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848
"linear_high",-0.137398132686823,-0.137398132686823,-0.201190122862848,-0.201190122862848,-0.201190122862848,4.90216909121914,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848,-0.201190122862848
"exp_rise_convex",0.0378288593785009,-0.272638979045501,-0.272638987166508,-0.272638987166508,-0.272638987166508,4.85285293938249,0.0378301202068357,0.0465478978626008,0.00525473529329438,-0.162446325409631,0.252684648302696,-0.268758123324341,-0.268649151103644,-0.269165315635761,-0.271261578894547,-0.266072441723143,-0.254694773516211,-0.254190911260367,-0.256577536254103,-0.266270171016041,-0.242276805144079,-0.272414684495879,-0.272408386217681,-0.272438219030103,-0.272559376964627,-0.272259459891228
"exp_fall_convex",0.148742411712401,-0.154900051887879,-0.154900059622963,-0.154900059622963,-0.154900059622963,4.85791222579085,-0.458543764068409,-0.512741660400078,-0.262670228132279,-0.426684521670454,-0.465096651933899,-0.158695605928531,-0.159373079632677,-0.15624718672933,-0.158297365398557,-0.15877751702685,-0.137350334459536,-0.134217853294501,-0.148671256553889,-0.139191706237753,-0.136971596552632,-0.15468068805842,-0.154641532043857,-0.1548221995846,-0.154703705205648,-0.154675953834584
"exp_rise_concave",-0.132315003943493,-0.213740293741461,-0.213032591780613,-0.213032591780613,-0.213032591780613,4.9001301624464,-0.131606969235453,-0.117073167332647,-0.184132756433477,-0.140150398946299,-0.129849735457494,-0.212014771498798,-0.211833098975013,-0.212671343838774,-0.212121564370184,-0.211992806076574,-0.217738756525699,-0.218578768109143,-0.214702918417343,-0.217244971075241,-0.217840319539849,-0.213091418839927,-0.21310191898472,-0.213053470863572,-0.213085246521796,-0.213092688377603
"exp_fall_concave",-0.101703416826431,-0.182614928821935,-0.181911692322862,-0.181911692322862,-0.181911692322862,4.89898799907127,-0.262823535021251,-0.265095488776426,-0.254334012690791,-0.210629175327919,-0.318817111732972,-0.182923090356592,-0.182951489778532,-0.182816971327461,-0.182270660860425,-0.183623010065488,-0.186588162083421,-0.18671947441891,-0.186097492323149,-0.183571479523274,-0.189824428364662,-0.181970148194869,-0.181971789599063,-0.181964014822866,-0.181932439662867,-0.182010601523384
"sin_fr_full",-0.0744629656967554,-0.201254491045316,-0.201254491045316,-0.19998657579183,-0.19998657579183,4.89994283135649,-0.201297447016878,-0.256137883338664,-0.138196052718072,-0.264366624337012,-0.139694839558322,-0.20125502799496,-0.201940533448983,-0.200466260566225,-0.202043392711462,-0.200484995401728,-0.201438827146403,-0.199978053909776,-0.201461448855071,-0.201277953361919,-0.206629519548447,-0.201256795246579,-0.201238535581122,-0.201257078017938,-0.201254784324273,-0.201321678901605
"sin_fr_partial",-0.0565320419666583,-0.218966269497666,-0.218966269497666,-0.21734192664432,-0.21734192664432,4.89763237713435,-0.137749184237641,-0.146561805245691,-0.112380332763542,-0.224030849656759,-0.0875456303230497,-0.217951055931916,-0.218061213694517,-0.21763394528849,-0.219029576749655,-0.217323511507984,-0.214177705219761,-0.210908571900647,-0.219257059783984,-0.212689773863966,-0.218592451542503,-0.218906412444193,-0.218865548277704,-0.218969904376245,-0.218887813302245,-0.218961596773227
"sin_rf_full",-0.0728712624519184,-0.201143606952701,-0.199860883507725,-0.201143606952734,-0.199860883507725,4.89986890520017,-0.20110014929129,-0.14561922246197,-0.264938515189362,-0.1372943766393,-0.263422223770221,-0.201143063731966,-0.200449552146599,-0.201941043305691,-0.200345491573816,-0.201922089662952,-0.200957117959896,-0.202434951808263,-0.200934232048559,-0.201119870615862,-0.195705802604535,-0.201141275840323,-0.201159748763428,-0.201140989766431,-0.201143310248523,-0.201075634398381
"sin_rf_partial",-0.0847286317555665,-0.189674571201891,-0.188625148779887,-0.189674608547809,-0.188625148779887,4.90025781915058,-0.242147559854076,-0.236453878142211,-0.258537935152997,-0.186402471075455,-0.27458320601803,-0.190330520439138,-0.190259349417739,-0.190535400130374,-0.189633706829405,-0.190735966016187,-0.192768416942644,-0.19488054732652,-0.189486733983173,-0.19372974360599,-0.18991612585043,-0.189713281152745,-0.189739682782543,-0.189672260115751,-0.189725297736037,-0.189677627514092
"sin_rfr_full",-0.100250088052791,-0.227530540450396,-0.22625773592642,-0.22625773592642,-0.224984931402444,4.89332938828675,-0.100347097991974,-0.0759916447663442,-0.148267721762748,-0.147814056065017,0.00629473493248338,-0.225940747419666,-0.225636304254345,-0.2265397552168,-0.226534084395579,-0.22460772450811,-0.227946778477495,-0.237357004951346,-0.228763955032031,-0.226817423402635,-0.23391178787116,-0.227535743425735,-0.227653371256658,-0.227545958132666,-0.227521626487299,-0.227610306043156
"sin_rfr_partial",-0.0971687752273079,-0.21047061555987,-0.209337597156558,-0.209337597156558,-0.208204578753232,4.89966065946648,-0.153819810785856,-0.198367185953162,-0.151477038124108,-0.198650687028125,-0.0755688911228291,-0.209762480500208,-0.2103193226898,-0.209733195841937,-0.210322866453237,-0.208784344004421,-0.216044964325721,-0.22041422210378,-0.211643027657953,-0.21626613941911,-0.22119906257477,-0.210540294919457,-0.210594910641682,-0.21048527071111,-0.210543059608124,-0.21060472114757
"sin_frf_full",-0.0470482053598174,-0.174449431666425,-0.173175419403359,-0.173175419403359,-0.171901407140292,4.8919296612148,-0.301753555983032,-0.326132119617497,-0.253787461278226,-0.254241557450383,-0.408496579237842,-0.176040733220382,-0.176345465265813,-0.175441157036572,-0.175446833238724,-0.177375021011067,-0.174032798679278,-0.164613643027265,-0.173214846722039,-0.175163225376877,-0.168062129205937,-0.174444223754085,-0.174326484308435,-0.17443399935462,-0.174458354087805,-0.174369590385669
"sin_frf_partial",-0.0436228463796741,-0.189365979854793,-0.187908548520041,-0.187908548520041,-0.18645111718529,4.89678860423994,-0.262237398160266,-0.204934939295359,-0.265250968175906,-0.204570264415521,-0.362893611647398,-0.190276872583611,-0.1895605918478,-0.190314542208806,-0.189556033411802,-0.1915350752522,-0.182195548608207,-0.176575257554983,-0.187857875375684,-0.18191104527567,-0.175565696640664,-0.18927634946421,-0.189206095826045,-0.189347128548804,-0.189272793172554,-0.189193476314616
"sin_frfr",-0.0838372836666585,-0.224556156107111,-0.224556156107111,-0.224556156107111,-0.224556156107111,4.89475840256952,-0.15419740894841,-0.0521268235508855,-0.14366592275412,-0.217497955511726,-0.0189247497028205,-0.223676671767627,-0.222400789450158,-0.223545028190198,-0.224467928599668,-0.221985763527057,-0.21492454969893,-0.217166534220963,-0.223634868917329,-0.213437935286666,-0.218699254288849,-0.224435761027008,-0.224463785833534,-0.224544640017238,-0.224417178346855,-0.224482944834382
"sin_rfrf",-0.0649645833336723,-0.1813744611645,-0.181374461164575,-0.181374461164575,-0.181374461164575,4.89645586250354,-0.239578830052909,-0.324016860078163,-0.24829101627209,-0.187213367167478,-0.351483320641361,-0.18210201577568,-0.183157491150995,-0.182210918103419,-0.181447447489612,-0.183500821908035,-0.189342220611805,-0.187487535879173,-0.182136597240211,-0.190572024397977,-0.186219591126937,-0.181474058157666,-0.181450874598508,-0.181383987865521,-0.181489430704993,-0.181435025289105
"logistic_rise",-0.0953339397376585,-0.22334378657208,-0.222063688103736,-0.220783589635391,-0.219503491167047,4.89705008680478,-0.0953339397376585,-0.0953281283991472,-0.143337632300567,-0.143337632300567,-0.0953339394738105,-0.22174366348665,-0.221743590844918,-0.222343709643686,-0.222343709643686,-0.221743663483352,-0.22334378657208,-0.223337975497393,-0.231344402131155,-0.215343171013005,-0.223343786835928,-0.22334378657208,-0.223343713933646,-0.223443794266568,-0.223243778877591,-0.223343786575378
"logistic_fall",-0.0524949460841489,-0.179379404853682,-0.176841715678292,-0.178110560265987,-0.175572871090596,4.89599894592765,-0.306263863623216,-0.306269623871821,-0.258682191584641,-0.258682191584641,-0.306263863884744,-0.180965460588301,-0.180965532591409,-0.180370689687819,-0.180370689687819,-0.180965460591571,-0.179379404853682,-0.179385164840783,-0.171449126049822,-0.187309683657542,-0.179379404592154,-0.179379404853682,-0.179379476853521,-0.179280276368634,-0.179478533338731,-0.179379404850413
"positive_change_full",-0.0776944318801316,-0.205303312166557,-0.205303348545901,-0.204027257899526,-0.204027257899526,4.8990592369533,-0.205303348545901,-0.230825161473397,-0.141498816227161,-0.269107880864641,-0.0776942839084209,-0.205303348545901,-0.205622371207495,-0.204505791891917,-0.206100905199885,-0.203708235237932,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901,-0.205303348545901
