"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",0.0757129066605168,-0.021079901937565,0.0130678593407052,0.0599937894858891,0.00792275018221831,-0.0251725748383675,-0.00287471797029227,0.0236910702404633,-0.0506290112828694,0.0135800444944435
"Embeddings",0.152441029375643,0.336875127902998,0.292607666528222,0.263036423270866,0.257776228954758,0.210110161247686,0.278986695479051,0.322798293897394,0.227363284858234,0.230246844996037
"Interestingness",-0.0138537914224644,0.071928830859132,0.0407849145651286,0.0443123894731356,0.0270990696488232,0.00062416395322545,0.0783524691763593,0.100935247767896,0.0551577845861687,-0.00807547198017892
"Sentiment Score",0.612940826411612,0.688005999437636,0.700863021514794,0.67371604338996,0.638465199706983,0.691717801449009,0.693961358120011,0.665171154718792,0.670462659071308,0.710027993470671
"Maximum",0.243376238406502,0.231573490536185,0.28290091370005,0.310305725797823,0.223152031646764,0.308559196476694,0.257172843516543,0.211378981267844,0.246715558983285,0.296058574724434
"Minimum",0.327182946075262,0.294594915732668,0.373580195581877,0.317070428619522,0.327973114736569,0.333178825349763,0.357137195947937,0.354182094209055,0.307680236158022,0.340278982096112
"End Value",0.663652675741203,0.578719976629722,0.645768846671607,0.583686563476906,0.635188512506255,0.617936444248007,0.616622061866764,0.655366670971722,0.599007191150142,0.627964692038939
"Number of
Peaks",0.200525347653084,0.164577469649416,0.227392687458997,0.243583916777022,0.265963254090621,0.144356113232026,0.165224097376416,0.231764195478531,0.17989434682276,0.12835947340635
"Number of
Valleys",0.0833148975770052,0.0552841646631256,0.067811161483796,0.0386452165057767,0.0460245195433767,0.0326997897003759,-0.00879220022057785,0.121583171920418,0.166413466953094,0.134811131879795
"Number of
Extrema",0.0711875315057914,0.0677258116542833,0.0953139671306889,0.12775914310793,0.137894308411021,0.0709492932563846,0.109035431123917,0.069789979492921,0.00941931417754522,-0.00181808157921606
"Integral",0.357491503823182,0.266304219087116,0.377686789341069,0.363239470015266,0.329979133191434,0.396785500999324,0.387422561337376,0.351078184663674,0.360987922477433,0.377254894832685
"1st Derivative",0.472940327605963,0.459742376791629,0.486944136899033,0.424068879705441,0.484434592899889,0.496774947792656,0.486716658712148,0.497439495917713,0.397872976222534,0.474479546855176
"1st Derivative
Prime",0.414229993467794,0.399441572762567,0.439326340113433,0.391046003142766,0.416951151830646,0.430158787678066,0.425680010568389,0.451964254871718,0.319460383609228,0.411595112845535
"1st Derivative
Ascending",0.498428909212316,0.46194726599779,0.471548680189748,0.415488326894102,0.484942884769241,0.455067722793258,0.45403801014563,0.49790780245418,0.434734654952631,0.475757579000731
"1st Derivative
Descending",0.313909140907799,0.310198760772619,0.368653807233117,0.307044212857111,0.341648821646372,0.394359010089391,0.381971878486543,0.349050632533532,0.212823082264396,0.350746372612074
"1st Derivative
End",0.467385791513153,0.434070164446663,0.453996535245086,0.387101156852983,0.45812125142353,0.446707663681023,0.446172941843657,0.488430851836911,0.407456404060011,0.447738364829916
"2nd Derivative",0.0277031279483313,-0.0812472085552991,0.024015525345509,0.0479432160521728,-0.00829241204710172,-0.0443218415815199,-0.0500227426593673,0.0238495651306191,-0.0144689464341606,-0.00869745123785726
"2nd Derivative
Prime",0.03434419786815,-0.0201120955428096,0.0307866611455633,-0.0231452874190972,0.0906953843112011,0.125913061615663,0.0840147642897428,0.0613602276171528,0.0636960187059954,0.0510590259600047
"2nd Derivative
Ascending",0.0324637205286844,-0.00364792340199621,0.113944371410952,0.106499560496966,0.111578065710776,0.101807505224714,-0.00437384679748308,0.145223797531733,0.0629221969984202,0.10080567681447
"2nd Derivative
Descending",0.0574427083557429,0.0963688608069324,0.114512886316237,0.135176764345004,0.068865893052355,0.0216253786352691,-0.0665168741289727,0.13211744612401,0.0232555569992164,0.0582750721519279
"2nd Derivative
End",0.0337306228452405,-0.0192770634883132,0.0235777576201968,0.0137775540736046,0.0836646522176615,0.0726230582490603,0.0504452842836198,0.0649411884113178,0.101612648659232,0.0400277109480068
