"","max","min","end_value","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des"
"linear_cut_rise",-0.0277143868518926,-0.269276634983658,-0.0277140861804058,-0.269276939254695,-0.269276939254695,-0.269276939254695,4.5619801222311,-0.0277140861804058,0.0447547697418811,-0.178690869351837,-0.057909442814692,-0.263237867927838,-0.261426146529781,-0.267012287507124,-0.263992751843695,-0.269276939254695,-0.269276939254695,-0.269276939254695,-0.269276939254695,-0.269276939254695,-0.269276939254695,-0.269276939254695,-0.269276939254695
"linear_cut_fall",-0.0498531288751325,-0.12969414416292,-0.129694243540687,-0.20953545877373,-0.20953545877373,-0.20953545877373,4.58093745520885,-0.289376674006774,-0.313329038576686,-0.239475914486122,-0.279396522102643,-0.211531489154557,-0.212130298268804,-0.21028397016654,-0.211281985356953,-0.20953545877373,-0.20953545877373,-0.20953545877373,-0.20953545877373,-0.20953545877373,-0.20953545877373,-0.20953545877373,-0.20953545877373
"linear_cut_low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linear_cut_middle",-0.104524800471181,-0.104524800471181,-0.104524800471181,-0.224728321013038,-0.224728321013038,-0.224728321013038,4.58341250066127,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038
"linear_cut_high",-0.104524800471181,-0.104524800471181,-0.104524800471181,-0.224728321013038,-0.224728321013038,-0.224728321013038,4.58341250066127,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038,-0.224728321013038
"exp_cut_rise_convex",0.0689828590772656,-0.305632069965459,0.0689840556116707,-0.305632189930961,-0.305632189930961,-0.305632189930961,4.52808714072701,0.0689840556116707,0.185675642546532,-0.14074535812095,-0.00224871481268192,-0.296266783792395,-0.293349494119024,-0.301510019135711,-0.298047603053004,-0.28398045781271,-0.277236022645176,-0.296102209438507,-0.288097505275601,-0.305090896628005,-0.304922285748816,-0.30539394041865,-0.305193822814577
"exp_cut_fall_convex",0.127379818750139,-0.153151465240345,-0.153151554014027,-0.180945128150036,-0.180945128150036,-0.180945128150036,4.55054022304677,-0.461477407668844,-0.516511029008948,-0.267868435874385,-0.444687169824197,-0.187958435138007,-0.189334275671509,-0.183118210843145,-0.18753867919189,-0.164731176302152,-0.161550392657739,-0.175921213154162,-0.165701603336055,-0.180539779353839,-0.180460259762729,-0.18081953027514,-0.180564040029687
"exp_cut_rise_concave",-0.072507046764345,-0.253108145730376,-0.0725069896134124,-0.251382727782574,-0.251382727782574,-0.251382727782574,4.57332041419569,-0.0707809879129453,-0.0353513119327065,-0.195423033457315,-0.0815902472707969,-0.246867684285833,-0.245981942386327,-0.249983735424442,-0.247137915769779,-0.26182098436721,-0.263868716846749,-0.254617035758712,-0.261196240537231,-0.25164368419719,-0.251694877509178,-0.251463585481977,-0.25162806560144
"exp_cut_fall_concave",-0.0984460824064998,-0.109701242674041,-0.109701278623453,-0.222219060140467,-0.222219060140467,-0.222219060140467,4.58347297061606,-0.233474259961737,-0.236980213438235,-0.227173021059139,-0.231334098998382,-0.222500440135999,-0.222588088972911,-0.222342909163434,-0.222446936111915,-0.222869578035425,-0.223072211974544,-0.222505384708639,-0.222745882940992,-0.222235323087841,-0.222240388936319,-0.222226218254671,-0.22223223071048
"sin_cut_fr_full",0.0608734223333558,-0.177379318486579,-0.177359137238444,-0.177379318486579,-0.177379318486579,-0.177379318486579,4.55992009872092,-0.415611878059323,-0.518662016667213,-0.266439909494209,-0.386109426944879,-0.183335132475898,-0.185911385941095,-0.17960583326177,-0.182597571198037,-0.177206097040109,-0.174461172043054,-0.174940061594761,-0.17960204857031,-0.177374987950417,-0.177306364825491,-0.177318337064284,-0.177434886738672
"sin_cut_fr_partial",0.23744598480036,-0.191206805588855,-0.065837076438408,-0.191206805589016,-0.18263372434405,-0.18263372434405,4.53216725802635,-0.494491138686746,-0.541003065480692,-0.243854987784568,-0.517664039765626,-0.19878891391646,-0.199951712086308,-0.192523010143905,-0.199368236443432,-0.148124176555037,-0.130870094088611,-0.173559556182029,-0.155000768703529,-0.190129739863167,-0.189698387801506,-0.190765624353842,-0.190301654666879
"sin_cut_rf_full",-0.030032099165258,-0.270164839057815,-0.0300524396591065,-0.270164839058766,-0.270164839058766,-0.270164839058766,4.5604643696668,-0.0300524396591065,0.0738108445367413,-0.180401490853358,-0.0597876880145994,-0.264162029073774,-0.261565446968878,-0.26792075535363,-0.264905410282662,-0.270339427356914,-0.273106011942989,-0.272623343580973,-0.267924569909244,-0.270169203766219,-0.270238368380871,-0.270226301671821,-0.270108832330028
"sin_cut_rf_partial",-0.0904730637219857,-0.160252948849948,-0.110881854927331,-0.228637646223347,-0.230033248066795,-0.228637646223347,4.58346160033234,-0.180661947099748,-0.173090325074811,-0.221462712220135,-0.176889657704647,-0.228798965542619,-0.228609674991995,-0.229818984670628,-0.228704658307741,-0.237046618730432,-0.239855390583759,-0.232906023105366,-0.235927186357769,-0.230208582333386,-0.230278801629719,-0.230105067442759,-0.230180596524069
"sin_cut_rfr_full",-0.0368853524161512,-0.235719260204023,-0.139046961004367,-0.233730921127898,-0.235719260205795,-0.233730921127898,4.57960075322493,-0.139046961004367,-0.100999563704803,-0.23005289349479,-0.120545252915015,-0.233302452725759,-0.23235126779327,-0.23557760103802,-0.232839910023525,-0.24749567883121,-0.262196067364844,-0.243661110920413,-0.242497932772946,-0.23601367067143,-0.236381180384771,-0.23591780647366,-0.235888727019974
"sin_cut_rfr_partial",-0.036989835473359,-0.179437914350161,-0.179438202419004,-0.202140590858,-0.203808780306331,-0.202140590858,4.58195224406872,-0.262847674835519,-0.328436601711533,-0.252589274646868,-0.228826904127279,-0.20528475266956,-0.206924475841461,-0.205028292664844,-0.204434233401854,-0.217785520015592,-0.224218557379326,-0.207964871271884,-0.217123613977354,-0.204158198799062,-0.204319024733155,-0.203912682580469,-0.204141651148106
