"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",0.976938912072739,0.995544852675395,0.997120007542273,1.00471874180519,1.03658171339668,1.03759248121184,0.983327518489175,1.00265445648207,1.01258166476653,0.951595314854936,0.959075831465955,0.969478349880529,1.01705206451034,1.02829160059087,0.992648840538251,0.976309617121825,0.992998073492996,1.01664400451648,1.00891396958488,1.03957220255538
"Embeddings",0.892784445726516,0.919052041771228,0.910152237137196,0.91969030601734,0.931274938124216,0.917306504664334,0.950067575941245,0.957089352253413,0.932826614148777,0.908658421432108,0.899147365216433,0.879815760457723,0.90583826471807,0.964758120831129,0.924972606088981,0.892333166444399,0.92702932856953,0.945180351132035,0.925427703846106,0.968219515476148
"Interestingness",0.954111564731697,0.962389756479823,0.976731089727554,0.96102829528144,0.994185471049085,0.993213853721139,0.964668034207101,0.956530779157142,0.998234915741067,0.930377778549579,0.936749999322046,0.918914026392008,0.963508063443019,1.00482322507861,0.975444287340123,0.952226755540386,0.960685229606669,0.976934459730389,0.989852772599673,1.01276324050594
"Sentiment Score",0.703310641327091,0.695045846193936,0.701517194158298,0.743269290820895,0.720132789628805,0.707198634509846,0.732487416984741,0.732535881903744,0.692139894282226,0.704619388894017,0.693571667113113,0.683537726397717,0.734626593551472,0.753391666013381,0.731028184272542,0.705615595300411,0.671206813996258,0.720626313134658,0.704485833360566,0.730326214339992
"Maximum",0.963465646580588,0.991002100818065,0.978523974326368,0.986822564652496,1.01174492366164,1.02924978052918,0.972318073826542,0.995290109615636,0.989813203299254,0.930182157603841,0.950347058250975,0.961260519587897,1.0133042499797,1.012742570144,0.968782462559373,0.961172663444764,0.986435065933606,0.990593094748806,0.991674502015651,1.01478834304446
"Minimum",0.929766593249114,0.933138429071911,0.937263528034502,0.911816963273752,0.943529233179577,0.972546425442453,0.949028321453966,0.915932353248721,0.974626809247961,0.898654408854732,0.919624987144451,0.909956040798542,0.91285736005083,0.974484233837851,0.955152532211571,0.916089768323503,0.930127730406306,0.94554981183883,0.926042874908547,0.978021702065259
"End Value",0.813457683312043,0.794093539642049,0.832969265331611,0.802496276825241,0.81359875239512,0.828413634145023,0.809547070697261,0.805819191092901,0.797058722671851,0.796135599703881,0.7669585408833,0.790101357682487,0.840782584571892,0.833954568841792,0.79800607917534,0.830618721799544,0.784195747109719,0.793848373342017,0.836253417105355,0.815283803936358
"Number of
Peaks",0.96762901054421,0.966401658707237,0.970505995984649,0.987342642430422,1.0077920329072,1.0219284746473,0.967467453723403,0.965032701429835,0.996876626830237,0.929499480743213,0.938078139956337,0.952144403439392,0.990970696257673,1.00007823774902,0.98723157870036,0.956390944115376,0.958519053916081,0.985992140061698,0.996327757200752,1.01620974632505
"Number of
Valleys",0.975105586122731,0.995358788245522,0.996610726321024,1.00554325847847,1.03491922038809,1.03712656026405,0.982597100108685,1.00140932817957,1.00972604560042,0.94873134996145,0.955835326901307,0.970599092914503,1.01620151124103,1.02755186471189,0.989285614165004,0.976097436940426,0.99246936549863,1.01670668307845,1.00827922646767,1.03552748169994
"Number of
Extrema",0.97766078945012,0.98704089830624,0.98869619972221,0.998969493015139,1.03027563461815,1.0339170098847,0.978866183439378,0.993037087361251,1.01222287100182,0.947400163076626,0.95749718600192,0.962505146291015,1.01077472499967,1.02009204152671,0.997647564591354,0.970867351156624,0.983462985902065,1.00770737752155,1.00530318136558,1.03433209624385
"Integral",0.92517693489256,0.961478925607091,0.951087834314356,0.927996335746827,0.958839635115562,0.999774710800362,0.95547875203371,0.977347862874131,0.99037501367191,0.910272690947744,0.916867961504643,0.920178904038089,0.974975043039316,0.994271993263654,0.936629277764631,0.921195479538586,0.973202368582015,0.964118012626566,0.955703497127844,0.99920050209532
