"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",0.979467739737887,0.985802925442429,1.00154458979768,0.992976642355494,1.05003031227012,1.01956524703869,0.985066259631262,1.00381620939664,1.01716371198949,0.964194124926161,0.973785717999501,0.972659475322432,1.01610260152486,1.00559282703227,0.987335016551125,0.977513675878874,0.99111802502169,1.00759822050394,1.03295313162131,1.03588172316824
"Embeddings",0.886660957891705,0.911885134754097,0.926576721296849,0.92024337261341,0.963049544818468,0.920706668192774,0.949110573859023,0.963791203519922,0.949223774702963,0.913039344445093,0.921114371781845,0.903474345427713,0.919968047547777,0.943136818783282,0.920470568016569,0.911437172175848,0.925361242389189,0.943336657619543,0.94643032612846,0.969496545072403
"Interestingness",0.973165841281202,0.966983119066973,0.994047031031988,0.977437058488145,1.03221925989295,0.999722193121731,0.983704053896965,0.979207923334612,1.00957194647879,0.960319532256449,0.96463825957361,0.950527139543734,0.991763494790141,0.991853905002794,0.987576523170594,0.96876410851051,0.978584642126527,0.994209926981773,1.02467804672921,1.02470275968502
"Sentiment Score",0.695457729655579,0.70972930464451,0.71329941683381,0.744558926183011,0.745520895577696,0.738663647774138,0.759398300141885,0.768247567794478,0.73359434102013,0.694252417225899,0.712947866589171,0.719545277457528,0.765220151096744,0.747216099131982,0.725222060917606,0.727624561604847,0.712112590848756,0.725886540701988,0.726735003856224,0.742164360305386
"Maximum",0.947928020799174,0.976736623244984,0.969300387658199,0.952958118230183,1.00259246306261,0.998416769239173,0.960789477922963,0.988163931128591,0.977622401941136,0.920197363751001,0.95457865591672,0.95607617164235,0.998184219485968,0.986738411607027,0.941373396887373,0.946224292711473,0.969780169674453,0.954835283811082,1.0016201976559,0.988501814675708
"Minimum",0.946162085818374,0.928956544942543,0.951284684821303,0.922439378401589,0.974872090663257,0.9686859126007,0.95842957464547,0.935966125768741,0.984198591323347,0.919063167842611,0.938301674356055,0.926187138729346,0.934146778672642,0.954316380990748,0.96173194328891,0.928752933960211,0.946288678014889,0.956306783291457,0.960401387770815,0.986171505138935
"End Value",0.778693553602364,0.755177547338636,0.797065261633934,0.756764855678388,0.806539723965657,0.808684743131788,0.774855640897882,0.788674687605941,0.786404500907729,0.74751341183418,0.730286204061422,0.785791383275901,0.826845959026208,0.784516086141003,0.747295019602764,0.799666602390482,0.758925848661886,0.762480358068346,0.81615683216597,0.786054709525194
"Number of
Peaks",0.976733046829428,0.960787739733255,0.979882547449564,0.981455005072057,1.02776034053577,1.01656098234987,0.976075049852932,0.97306407555492,1.00688034394808,0.945771060230737,0.957627255330225,0.965144679100894,0.999562978504291,0.98056221899835,0.987111869500666,0.963874072478301,0.965654735626531,0.985634848480215,1.02549964275975,1.01542731002433
"Number of
Valleys",0.97160768502481,0.984263707933706,0.998000900778439,0.988815853827888,1.04542973192124,1.0185794705139,0.978503000496095,0.999887529701261,1.00865599183983,0.955559186943258,0.96439101014404,0.973309144163915,1.00947322475603,1.00731869351526,0.974643042196656,0.972588614248644,0.985592760317844,1.00849025201021,1.02995167537508,1.02623821914666
"Number of
Extrema",0.982077196681588,0.982329768595952,0.998521633255397,0.992209640937962,1.04767302759288,1.01949505179976,0.985187388764804,0.999973531482109,1.01751842747023,0.963289225502838,0.974213534055493,0.971195300582696,1.01547715567919,1.00175043463841,0.993356347161158,0.976734304009836,0.988182781019033,1.00460386965575,1.03219321423642,1.03323132487124
