"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"random",-0.0224310148282372,-0.00312535681336841,-0.0589418037425115,-0.0190446627443659,-0.00202900068155618,-0.0108293680982128,-0.0321988785216536,-0.0199779696506809,-0.08026611190836,-0.0416705585975315,0.0368858724473816,0.0195691518946029,0.0184821505364969,0.0312640429059951,0.0398832787368809,0.0153470630196733,-0.0072282952355029,0.0686784622419989,-0.0173892475679056,-0.0758941347753909
"Embeddings",0.427392669353008,0.380348579403639,0.378733783021324,0.375330901188493,0.404672787242914,0.432563243992999,0.285605692494828,0.289468765799471,0.357465326348038,0.325841945769771,0.320403848502488,0.374037170952697,0.429345409889729,0.348487989258791,0.361408334369148,0.359230036495653,0.357764545055424,0.353779314661368,0.401491748914885,0.348263767845663
"Interestingness",0.120753202103277,0.19895798572573,0.12257005047913,0.173585867560648,0.1890550583066,0.199869989065233,0.0891171316545803,0.240024742225738,0.123960803359581,0.100543169374458,0.151866303534526,0.226140735170155,0.237561087146159,0.166721363333194,0.0853650841545086,0.137420365813838,0.157163077564547,0.163339108736111,0.12312045730369,0.133827086545305
"Sentiment Score",0.706066478673945,0.694934411808642,0.701935966553246,0.664924928489154,0.707461572399973,0.687723885872551,0.638775051308319,0.644215671913112,0.691743728015445,0.694720007166232,0.677275582577075,0.672406727136806,0.66182476148316,0.670314203472437,0.678807559378924,0.667598346978563,0.695615012167189,0.693617233701417,0.713613019524047,0.695701868705894
"Maximum",0.252141224226897,0.160851339216383,0.249258538710653,0.284424971873201,0.305143239604438,0.197738022510477,0.223547128185334,0.17705262671905,0.274626405162347,0.296247960760882,0.201284031438373,0.194859175812735,0.190781740003936,0.197154276419335,0.309961274353481,0.252992164581781,0.207805270363179,0.331348048254626,0.248421136545416,0.300111761702589
"Minimum",0.265354613019456,0.335222198134116,0.311739042072304,0.368694120073533,0.378717118428121,0.31076678479042,0.235784419115532,0.362936498616682,0.260121272118035,0.299240643467009,0.267439460440693,0.310990688068815,0.401871380589331,0.316053145797132,0.23725948557863,0.312439794337959,0.296717309897103,0.316770070282077,0.373794209394383,0.301204425123125
"End Value",0.607112225182471,0.64303783883927,0.605243549364828,0.647453839206855,0.64488478946699,0.609442529254099,0.617513968333222,0.618853184623044,0.633659749383235,0.633942234607095,0.657339442691163,0.589805650022913,0.582123643092274,0.626437992087353,0.653356243032433,0.577589002115171,0.642987981000589,0.655861804097217,0.613324215525933,0.652424226579652
"Number of
Peaks",0.107895578417246,0.230582184818955,0.205260304412643,0.150706263682279,0.209899429617062,0.0970976366167093,0.140065000631633,0.264918342894025,0.142658608291124,0.195839880346735,0.184359197112118,0.135145481916341,0.179543410464545,0.228532327854856,0.092963727438146,0.169776899511976,0.232786164216461,0.215300227208905,0.124942031273084,0.185813981258557
"Number of
Valleys",0.130421575152323,0.0672816741721873,0.0832481263109811,0.0937889442177315,0.0932129255610765,0.0677226305386121,0.118031951052768,0.0884912432719107,0.129820740801401,0.139560802568075,0.144128362897742,0.0426946898196352,0.11721677622925,0.0409887421254823,0.181536028231727,0.10134873343126,0.103713623820588,0.0489049095938495,0.0741825589878222,0.124949937477802
"Number of
Extrema",-0.0176773976092312,0.102447199581285,0.0744211383776252,0.0356150083137808,0.0736723206747206,0.0166179060620025,0.0194984997595662,0.11472168252729,0.00885555525374959,0.0389799390792092,0.0295609969195255,0.0608207453115771,0.0387074373664531,0.119049635654527,-0.059098034497181,0.0445799777268553,0.0845904323723275,0.101103948547733,0.0302292894651639,0.0365216090065683
